Entry,AI workflow,Days,Hours,Minutes,Notes,Project,Start datetime,Task type,Workspace
AOWR-1232 debugging link outs,Yes,0.017,0.4,25,,Reporting,"March 31, 2026 1:36 PM (GMT+8)",Development,Macquarie
AOWR-1232 debugging link outs,Yes,0.017,0.4,25,,Reporting,"March 31, 2026 2:38 PM (GMT+8)",Development,Macquarie
AOWR-1232 debugging link outs,Yes,0.017,0.4,25,,Reporting,"March 31, 2026 3:30 PM (GMT+8)",Development,Macquarie
AOWR-1232 debugging link outs,Yes,0.017,0.4,25,,Reporting,"March 31, 2026 4:04 PM (GMT+8)",Development,Macquarie
Project management,No,0.008,0.2,10,,General,"March 31, 2026 6:14 PM (GMT+8)",Admin,Personal
Supabase refactor,No,0.017,0.4,25,,Time,"March 31, 2026 7:05 PM (GMT+8)",Development,Personal
Supabase refactor,No,0.017,0.4,25,,Time,"March 31, 2026 7:34 PM (GMT+8)",Development,Personal
Emails and chats,No,0.017,0.4,25,,Admin (Emails chats etc),"April 1, 2026 8:45 AM (GMT+8)",Admin,Macquarie
AOWR-1232 debugging link outs,Yes,0.013,0.3,15,,Reporting,"April 1, 2026 9:03 AM (GMT+8)",Development,Macquarie
AOWR-1232 debugging link outs,Yes,0.017,0.4,25,,Reporting,"April 1, 2026 9:36 AM (GMT+8)",Development,Macquarie
Emails and chats,No,0.017,0.4,25,,Admin (Emails chats etc),"April 1, 2026 10:45 AM (GMT+8)",Admin,Macquarie
Emails and chats,No,0.017,0.4,25,,Admin (Emails chats etc),"April 1, 2026 11:43 AM (GMT+8)",Admin,Macquarie
AOWR-1784 remove linkouts,No,0.017,0.4,25,,Reporting,"April 1, 2026 3:03 PM (GMT+8)",Development,Macquarie
AOWR-1784 remove linkouts,No,0.017,0.4,25,,Reporting,"April 1, 2026 3:52 PM (GMT+8)",Development,Macquarie
Supabase refactor,No,0.017,0.4,25,,Time,"April 1, 2026 6:12 PM (GMT+8)",Development,Personal
Supabase refactor,No,0.017,0.4,25,,Time,"April 1, 2026 6:46 PM (GMT+8)",Development,Personal
Supabase refactor,No,0.017,0.4,25,,Time,"April 1, 2026 7:11 PM (GMT+8)",Development,Personal
Supabase refactor,No,0.013,0.3,20,,Time,"April 1, 2026 7:53 PM (GMT+8)",Development,Personal
Supabase auth,No,0.017,0.4,25,,Time,"April 1, 2026 9:48 PM (GMT+8)",Development,Personal
Supabase auth,No,0.017,0.4,25,,Time,"April 1, 2026 10:14 PM (GMT+8)",Development,Personal
Supabase refactor,No,0.017,0.4,25,,Time,"April 2, 2026 8:12 AM (GMT+8)",Development,Personal
Prototype,No,0.017,0.4,25,,Brain,"April 2, 2026 9:28 AM (GMT+8)",Development,Personal
Prototype,No,0.017,0.4,25,,Brain,"April 2, 2026 9:58 AM (GMT+8)",Development,Personal
Prototype,No,0.017,0.4,25,,Brain,"April 2, 2026 10:42 AM (GMT+8)",Development,Personal
Prototype,No,0.017,0.4,25,,Brain,"April 2, 2026 11:07 AM (GMT+8)",Development,Personal
Prototype,No,0.017,0.4,25,,Brain,"April 2, 2026 3:53 PM (GMT+8)",Development,Personal
Supabase refactor,No,0.017,0.4,25,,Time,"April 2, 2026 6:39 PM (GMT+8)",Development,Personal
